SEGMENT_ID,COMPONENT,SOURCE,RAW_COMPONENT,WMIN_NM,WMAX_NM,N_POINTS,DATA_TYPE,INSTRUMENT,SCALING_NOTE,PRIORITY,IS_OBS,IS_MODEL,IS_RECON,IS_BRIDGE,IS_PHX,IS_HYBRID,COMPONENT_NOTE
1,Chandra LETG/HRC-S 2T APEC,Chandra_APEC_2T,Chandra_LETG_HRCS_2T_APEC,0.520313895247662,12.394706774877363,1600,model_fit_to_observation,Chandra LETG/HRC-S + APEC,"Unabsorbed 2T tbabs*(apec+apec) model from joint Chandra LETG/HRC-S first-order fit to ObsIDs 17715, 20019, and 20020.",1,False,True,False,False,False,False,"; final stitch v2: Chandra LETG/HRC-S 2T APEC model, unabsorbed surface flux"
2,Namekata/Sanz EUV,Namekata_Sanz_scaled_same_factor,Namekata_Sanz_EUV_extended_to_UV,12.4,114.5,3881,semiempirical_reconstruction,Namekata/Sanz,Namekata spectral shape scaled to Sanz-Forcada EUV luminosity. The 12.4--91.2 nm interval defines the normalization; the redward extension to the first UV point uses the same scale factor only.,2,False,True,True,False,False,False,Namekata spectral shape scaled by the same Sanz factor derived over 12.4--91.2 nm. The portion beyond 91.2 nm is an extension to the first UV/IUE/HST point and is not used to redefine the Sanz normalization.
3,IUE_SWP_MXLO,IUE_SWP_MXLO_smoothed,IUE_SWP_MXLO,115.30947623848914,119.41650335788728,9,observed_gapfill_bridge,IUE,IUE low-dispersion spectrum used as UV gap fill.,4,True,False,False,True,False,False,Final adopted IUE low-dispersion gap-fill log-binned over 0.500 nm; input_source=IUE_SWP_MXLO; SWP tilt within adoption threshold or bridge mode disabled.; final_manual_blue_only_swp_slope=True; start_nm=145.000000; red_end_factor=1.70000000e-01; green_lwp_unchanged=True
4,HST_STIS_G140M,HST_STIS_G140M_HSLA_CSPEC,HST_STIS_G140M,119.5069580078125,124.854736328125,1001,direct_observation,HST/STIS,Preferred directly observed UV segment where available.,3,True,False,False,False,False,False,Loaded from hst_stis_stauboo--4015_g140m_cspec.fits; HDU=1; WAVELENGTH interpreted as Angstrom; FLUX interpreted as erg cm^-2 s^-1 A^-1; multiplied by 10
5,IUE_SWP_MXLO,IUE_SWP_MXLO_smoothed,IUE_SWP_MXLO,124.94841743707656,197.1985679864884,146,observed_gapfill_bridge,IUE,IUE low-dispersion spectrum used as UV gap fill.,4,True,False,False,True,False,False,Final adopted IUE low-dispersion gap-fill log-binned over 0.500 nm; input_source=IUE_SWP_MXLO; SWP tilt within adoption threshold or bridge mode disabled.; final_manual_blue_only_swp_slope=True; start_nm=145.000000; red_end_factor=1.70000000e-01; green_lwp_unchanged=True
6,IUE_LWP_MXLO,IUE_LWP_MXLO_smoothed,IUE_LWP_MXLO,197.2332777142525,197.6326779127121,2,observed_gapfill_bridge,IUE,IUE low-dispersion spectrum used as UV gap fill.,4,True,False,False,True,False,False,Final adopted IUE low-dispersion gap-fill log-binned over 0.500 nm; input_source=IUE_LWP_MXLO; LWP blue-edge artifact removed before this stage if configured; v2p2 post-peak LWP anchors preserve the LWP morphology while avoiding the first LWP edge.
7,IUE_SWP_MXLO,IUE_SWP_MXLO_smoothed,IUE_SWP_MXLO,197.70146926641465,197.70146926641465,1,observed_gapfill_bridge,IUE,IUE low-dispersion spectrum used as UV gap fill.,4,True,False,False,True,False,False,Final adopted IUE low-dispersion gap-fill log-binned over 0.500 nm; input_source=IUE_SWP_MXLO; SWP tilt within adoption threshold or bridge mode disabled.; final_manual_blue_only_swp_slope=True; start_nm=145.000000; red_end_factor=1.70000000e-01; green_lwp_unchanged=True
8,IUE_LWP_MXLO,IUE_LWP_MXLO_smoothed,IUE_LWP_MXLO,198.2983449101448,256.7439072847366,117,observed_gapfill_bridge,IUE,IUE low-dispersion spectrum used as UV gap fill.,4,True,False,False,True,False,False,Final adopted IUE low-dispersion gap-fill log-binned over 0.500 nm; input_source=IUE_LWP_MXLO; LWP blue-edge artifact removed before this stage if configured; v2p2 post-peak LWP anchors preserve the LWP morphology while avoiding the first LWP edge.
9,HST_STIS_E230H,HST_STIS_E230H_HSLA_CSPEC,HST_STIS_E230H,256.8921875,284.5411376953125,22584,direct_observation,HST/STIS,Preferred directly observed UV segment where available.,3,True,False,False,False,False,False,Loaded from hst_stis_stauboo--4015_e230h_cspec.fits; HDU=1; WAVELENGTH interpreted as Angstrom; FLUX interpreted as erg cm^-2 s^-1 A^-1; multiplied by 10
10,IUE_LWP_MXLO,IUE_LWP_MXLO_smoothed,IUE_LWP_MXLO,284.83505457639694,334.7600793838501,100,observed_gapfill_bridge,IUE,IUE low-dispersion spectrum used as UV gap fill.,4,True,False,False,True,False,False,Final adopted IUE low-dispersion gap-fill log-binned over 0.500 nm; input_source=IUE_LWP_MXLO; LWP blue-edge artifact removed before this stage if configured; v2p2 post-peak LWP anchors preserve the LWP morphology while avoiding the first LWP edge.
11,UV_Gaia_bridge,UV_Gaia_loglinear_bridge,UV_Gaia_bridge,334.77538704577785,335.98469233807225,80,empirical_bridge,log-linear / empirical bridge,Interpolation bridge between adjacent adopted components.,5,False,False,False,True,False,True,Log-linear interpolation bridge between last adopted UV point and first Gaia XP point
12,Gaia DR3 XP,Gaia_DR3_XP_sampled,Gaia_XP,336.0,1020.0,343,direct_observation,Gaia DR3 XP sampled,Gaia DR3 XP sampled optical spectrophotometry.,6,True,False,False,False,False,False,Loaded from XP_SAMPLED-Gaia DR3 1244571953471006720.fits; HDU=1; wavelength interpreted as nm; flux interpreted as W m^-2 nm^-1; multiplied by 1000
13,PHOENIX,PHOENIX_scaled_to_Gaia,PHOENIX,1020.0520008666812,5000.0,50808,photosphere_model_scaled,PHOENIX,PHOENIX photospheric model scaled to the adopted optical/IR anchor.,7,False,True,False,False,True,False,"Generated with phoenix_hires_utils.py; Teff=6250.0 K; [Fe/H]=0.00; flux_unit=per_cm; requested_trials=[(6400.0, 0.25), (6250.0, 0.0), (6000.0, 0.0)]; scaled_to_Gaia_XP_900_1020_nm=True; scale=1.16855671e+00; scatter_dex=0.00714; gaia_red_edge_nm=1020.000"
